🔍 PointRend 极细粒度测试报告 (透明度: 0.45, 阈值: 0.15)
====================================================================================================

▶ 图片: IMG_20251223142837.jpg (人工标注: 194块 | 预测: 186块)
--------------------------------------------------------------------------------
  [匹配成功] 石头_085 | IoU: 0.97 | 真实面积:  16024 px | 预测面积:  16154 px | 面积误差:   +130 px (  +0.8%)
  [匹配成功] 石头_086 | IoU: 0.75 | 真实面积:  10246 px | 预测面积:  14636 px | 面积误差:  +4390 px ( +42.8%)
  [匹配成功] 石头_087 | IoU: 0.94 | 真实面积:   5432 px | 预测面积:   5272 px | 面积误差:   -160 px (  -2.9%)
  [匹配成功] 石头_088 | IoU: 0.89 | 真实面积:   9904 px | 预测面积:   9448 px | 面积误差:   -456 px (  -4.6%)
  [匹配成功] 石头_089 | IoU: 0.96 | 真实面积:  12212 px | 预测面积:  12127 px | 面积误差:    -85 px (  -0.7%)
  [匹配成功] 石头_090 | IoU: 0.98 | 真实面积:   8891 px | 预测面积:   8657 px | 面积误差:   -234 px (  -2.6%)
  [匹配成功] 石头_091 | IoU: 0.90 | 真实面积:  10662 px | 预测面积:  11367 px | 面积误差:   +704 px (  +6.6%)
  [匹配成功] 石头_092 | IoU: 0.91 | 真实面积:  11566 px | 预测面积:  10766 px | 面积误差:   -800 px (  -6.9%)
  [匹配成功] 石头_093 | IoU: 0.92 | 真实面积:  12412 px | 预测面积:  12384 px | 面积误差:    -28 px (  -0.2%)
  [匹配成功] 石头_094 | IoU: 0.97 | 真实面积:  13304 px | 预测面积:  13333 px | 面积误差:    +29 px (  +0.2%)
  [匹配成功] 石头_095 | IoU: 0.91 | 真实面积:  11150 px | 预测面积:  11269 px | 面积误差:   +120 px (  +1.1%)
  [匹配成功] 石头_096 | IoU: 0.98 | 真实面积:   8676 px | 预测面积:   9073 px | 面积误差:   +397 px (  +4.6%)
  [匹配成功] 石头_097 | IoU: 0.90 | 真实面积:   6979 px | 预测面积:   6495 px | 面积误差:   -484 px (  -6.9%)
  [匹配成功] 石头_098 | IoU: 0.94 | 真实面积:  10452 px | 预测面积:  10181 px | 面积误差:   -271 px (  -2.6%)
  [匹配成功] 石头_099 | IoU: 0.92 | 真实面积:  12914 px | 预测面积:  13333 px | 面积误差:   +418 px (  +3.2%)
  [匹配成功] 石头_100 | IoU: 0.94 | 真实面积:   8431 px | 预测面积:   8451 px | 面积误差:    +20 px (  +0.2%)
  [匹配成功] 石头_101 | IoU: 0.97 | 真实面积:  13517 px | 预测面积:  13346 px | 面积误差:   -171 px (  -1.3%)
