📏 石头掩码面积误差报告 (严格 1对1 匹配计算)
====================================================================================================

▶ 图片: IMG_20251223142837.jpg (有效标注: 194 | 有效预测: 186)
--------------------------------------------------------------------------------
  [1对1精准匹配] 石头_010 | IoU: 0.94 | 真实:  11748px | 预测:  11746px | 误差:     -2px (  -0.0%)
  [彻底漏检]     石头_011 | 真实:   8971px | 无匹配预测
  [彻底漏检]     石头_012 | 真实:   7816px | 无匹配预测
  [1对1精准匹配] 石头_013 | IoU: 0.99 | 真实:  18657px | 预测:  18084px | 误差:   -573px (  -3.1%)
  [彻底漏检]     石头_014 | 真实:   6646px | 无匹配预测
  [1对1精准匹配] 石头_015 | IoU: 0.94 | 真实:  18105px | 预测:  17687px | 误差:   -418px (  -2.3%)
  [彻底漏检]     石头_016 | 真实:   6722px | 无匹配预测
  [1对1精准匹配] 石头_017 | IoU: 0.94 | 真实:  15121px | 预测:  14460px | 误差:   -662px (  -4.4%)
  [1对1精准匹配] 石头_018 | IoU: 0.95 | 真实:  10024px | 预测:   9713px | 误差:   -310px (  -3.1%)
  [1对1精准匹配] 石头_019 | IoU: 0.92 | 真实:  17995px | 预测:  17966px | 误差:    -28px (  -0.2%)
  [1对1精准匹配] 石头_020 | IoU: 0.97 | 真实:   9889px | 预测:   9600px | 误差:   -289px (  -2.9%)
  [彻底漏检]     石头_021 | 真实:   7114px | 无匹配预测
  [1对1精准匹配] 石头_022 | IoU: 0.96 | 真实:  10787px | 预测:  10779px | 误差:     -8px (  -0.1%)
  [1对1精准匹配] 石头_023 | IoU: 0.96 | 真实:   9702px | 预测:   9351px | 误差:   -351px (  -3.6%)
  [1对1精准匹配] 石头_024 | IoU: 0.95 | 真实:   5004px | 预测:   5169px | 误差:   +165px (  +3.3%)
  [1对1精准匹配] 石头_025 | IoU: 0.97 | 真实:   6808px | 预测:   6620px | 误差:   -188px (  -2.8%)
  [1对1精准匹配] 石头_026 | IoU: 0.93 | 真实:   8747px | 预测:   8342px | 误差:   -405px (  -4.6%)
  [1对1精准匹配] 石头_027 | IoU: 0.93 | 真实:   9552px | 预测:   9278px | 误差:   -274px (  -2.9%)
  [1对1精准匹配] 石头_028 | IoU: 0.97 | 真实:   6924px | 预测:   6536px | 误差:   -388px (  -5.6%)
  [1对1精准匹配] 石头_029 | IoU: 0.96 | 真实:  13993px | 预测:  13711px | 误差:   -282px (  -2.0%)
  [1对1精准匹配] 石头_030 | IoU: 0.90 | 真实:  10686px | 预测:  10390px | 误差:   -296px (  -2.8%)
  [1对1精准匹配] 石头_031 | IoU: 0.90 | 真实:   4980px | 预测:   4687px | 误差:   -292px (  -5.9%)
  [1对1精准匹配] 石头_032 | IoU: 0.87 | 真实:   6038px | 预测:   5618px | 误差:   -420px (  -7.0%)
